Course,Title,Description,Credits,ACP,CS,HUM,NAT,QR,SBS,Average GPA,Best Instructor,Best Instructor GPA,Consider
AAS100,Intro Asian American Studies,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics.",3,,US,,,,SS,3.42,"Boonsripaisal, Simon",3.96
AAS200,U.S. Race and Empire,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. ",3,,US,HP,,,,,,
AAS201,US Racial & Ethnic Politics,,3,,US,,,,SS,,,
AAS211,Asian Americans and the Arts,"Examination of Asian American artistic expressions in the visual and the performing arts providing historical, theoretical, and conceptual foundations of understanding the history of various art genres in Asian American communities. ",3,,US,LA,,,,,,
AAS281,Constructing Race in America,,3,,US,HP,,,,,,
AAS283,Asian American History,,3,,US,HP,,,,,,
AAS297,Asian Families in America,,3,,US,,,,SS,,,
AAS310,Race and Cultural Diversity,,4,ACP,US,,,,,,,
AAS402,Asian American Education,,4,ACP,US,,,,,,,
ACE251,The World Food Economy,"Examination of global food production, consumption, and trade; problems of hunger and population; the role of agricultural development, trade, and aid in relieving hunger. ",3,,NW,,,,SS,3.29,"Michelson, Hope C",3.34
ACES179,History of Ag in IL Since 1860,"An introduction to the history of agriculture in the rural Midwest with an emphasis on Illinois based on an analysis of the attitudes of indigenous peoples, immigrants, farmers and agribusiness interests toward land, labor, crop selection and production, and technology. The course compares the regional characteristics of the rural Midwest to other U.S. regions, and explores factors that created the American ""breadbasket,"" a region recognized for the commodities, equipment and ideas that it exports to the world.",3,,US,HP,,,,3.02,"Reid, Debra A",3.19
AFRO100,Intro to African American St,"Interdisciplinary introduction to the basic concepts and literature in the disciplines covered by African American studies; surveys the major approaches to the study of African Americans across several academic disciplines including economics, education, psychology, literature, political science, sociology and others.",3,,US,,,,SS,3.36,"Bailey, Ronald W",3.61
AFRO101,"Black America, 1619-Present","Sociohistorical survey of African American experiences from the West African background to North America, from the 17th century to the present. ",3,,US,HP,,,,2.15,"Cha-Jua, Sundiata",2.19
AFRO132,African American Music,"Survey of African American music, from its origins to the present with a focus on understanding details of musical performance and the ways in which music interacts with its social and political context. Examines genres such as spirituals, the blues, jazz, R&B, soul, and hip-hop. No previous musical background is necessary.",3,,US,LA,,,,3.25,"Meyers, John P",3.25
AFRO201,US Racial & Ethnic Politics,,3,,US,,,,SS,,,
AFRO228,Hip Hop Music: History and Culture,"A study of hip-hop from its beginnings in the post-industrial South Bronx of the 1970s to the global present. By focusing on the work of specific artists and movements, we will compare and contrast the production and consumption of hip-hop with other forms of popular music (including jazz, rock, disco, and pop). This course shows how musicians and listeners use hip-hop to express ideas about topics such as economics, nationalism, black power, feminism, and violence.",3,,US,LA,,,,,,
AFRO261,Intro to the African Diaspora,"Introduction to the origin, development, and maturation of the African diaspora in the Americas and the Caribbean, beginning with the transatlantic slave trade and up to the end of the 20th century. ",3,,US,HP,,,,3.12,"Bowen, Merle L",3.13
AFRO276,Afro-American Hist Since 1877,,3,,US,HP,,,,,,
AFRO281,Constructing Race in America,,3,,US,HP,,,,,,
AFRO310,Race and Cultural Diversity,,4,ACP,US,,,,,,,
AFST111,History of Africa to 1800,,3,,NW,HP,,,,,,
AFST213,African Muslim Societies,,3,,NW,HP,,,,,,
AIS265,Intro to American Indian Lit,"Introduces students to the study of American Indian literature by focusing on texts by contemporary American Indian novelists, poets, and playwrights. Over the course of the semester, students will consider how indigenous aesthetics shape narrative in addition to examining how American Indian authors engage the legacies of colonization and the histories of their tribal communities through their stories. ",3,,US,LA,,,,3.4,"Soto, Silvia",3.4
AIS277,Encounters in Native America,,3,,US,HP,,,,,,
AIS285,Indigenous Thinkers,An introduction to the English-language traditions of indigenous intellectuals. Specific topics vary. ,3,,NW,HP,,,,3.39,"Maldonado, Korinta",3.57
ANTH101,Introduction to Anthropology,"Anthropology was first envisioned as a holistic discipline, combining insights from the study of human anatomy and evolution, research on material remains of human settlements, and the analysis of social interaction in language and other cultural practices. Following this tradition, this course explores the questions about where humans came from, how societies live and communicate, and why human cultural groups vary.",3,,WCC,,,,SS,2.89,"Ritchison, Brandon T",3.09
ANTH103,Anthro in a Changing World,"Presents the fundamental areas of anthropological analysis through a series of comparative cases that emphasize social and cultural relations in global contexts. Directs attention to the anthropological history of global empires and colonial states, their cultural exchanges, and contemporary studies of culture, society, and globalization.",3,,NW,,,,SS,3.41,"Maldonado, Korinta",3.66
ANTH108,Religion & Society in West I,,3,,WCC,HP,,,,,,
ANTH210,Families in Global Perspective,,3,,NW,,,,SS,,,
