Year,Term,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,20,6,1,4,1,0,0,0,0,0,0,0,0,0,"Boonsripaisal, Simon"
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,16,10,2,2,1,0,0,0,0,0,0,0,0,0,"Uhall, Michael B"
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,5,13,2,2,3,2,0,1,0,0,0,0,3,0,"Kang, Yoonjung"
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,26,6,1,0,1,0,0,0,0,0,0,0,0,0,"Boonsripaisal, Simon"
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,19,4,3,1,2,3,0,0,0,0,0,0,0,0,"Uhall, Michael B"
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,4,10,2,3,1,3,0,0,0,0,0,0,3,0,"Kang, Yoonjung"
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,3,24,0,1,5,0,0,0,0,0,0,0,1,0,"Park, Doo Jae"
2019,Fall,2019-fa,AAS,100,Intro Asian American Studies,1,22,0,1,6,0,1,1,0,0,1,0,1,0,"Park, Doo Jae"
2019,Fall,2019-fa,AAS,246,Asian American Youth in Film,5,47,5,5,4,0,1,2,0,0,0,0,0,0,"Kwon, Soo Ah"
2019,Fall,2019-fa,AAS,287,Food and Asian Americans,27,29,3,5,2,0,0,0,0,0,0,0,2,0,"Sharif, Lila A"
2019,Fall,2019-fa,AAS,370,"Immigration, Law, and Rights",0,3,4,6,7,4,2,1,1,1,0,0,0,0,"Paik, Angela N"
2019,Fall,2019-fa,ABE,100,Intro Agric & Biological Engrg,0,39,0,0,3,0,0,0,0,0,0,0,2,0,"Green-Miller, Angela"
2019,Fall,2019-fa,ABE,199,Water in the Global Environ,5,21,0,0,1,0,0,0,0,0,0,0,0,0,"Kalita, Prasanta K"
2019,Fall,2019-fa,ABE,223,ABE Principles: Machine Syst,2,21,2,4,5,3,2,2,0,0,1,1,0,0,"Grift, Tony E"
2019,Fall,2019-fa,ABE,224,ABE Principles: Soil & Water,10,24,0,7,3,0,0,2,0,0,0,0,2,0,"Kalita, Prasanta K"
2019,Fall,2019-fa,ABE,430,Project Management,1,81,9,2,5,0,0,0,0,0,0,0,2,0,"Davidson, Paul C"
